자전거ID,출발시각,열2,열1,도착시각,출발보관대,도착보관대,사용시간,출발지,도착지
GJA-0141,20200701082504 ,20200701,82504,20200701083128 ,D-0021,D-0022,624,유안타증권 앞,상무역 5번 출구 앞
GJA-0073,20200701112145 ,20200701,112145,20200701122435 ,D-0020,D-0015,10290,교보문고 앞,한국은행 앞
GJA-0169,20200701113432 ,20200701,113432,20200701114431 ,D-0018,D-0020,999,아웃백스테이크 앞,교보문고 앞
GJA-0183,20200701114006 ,20200701,114006,20200701115905 ,D-0018,D-0020,1899,아웃백스테이크 앞,교보문고 앞
GJA-0166,20200701124544 ,20200701,124544,20200701125442 ,D-0018,D-0035,898,아웃백스테이크 앞,치평초교 앞
GJA-0073,20200701134232 ,20200701,134232,20200701144258 ,D-0015,D-0018,10026,한국은행 앞,아웃백스테이크 앞
GJA-0105,20200701140048 ,20200701,140048,20200701141849 ,D-0021,D-0052,1801,유안타증권 앞,518자유공원 승강장 옆
GJA-0121,20200701141001 ,20200701,141001,20200701145333 ,D-0021,D-0042,4332,유안타증권 앞,금호쌍용아파트 앞
GJA-0120,20200701141013 ,20200701,141013,20200701145445 ,D-0021,D-0042,4432,유안타증권 앞,금호쌍용아파트 앞
GJA-0045,20200701141244 ,20200701,141244,20200701151417 ,D-0007,D-0009,10173,KBS 앞,쉐보레 앞
GJA-0195,20200701145709 ,20200701,145709,20200701172620 ,D-0022,D-0034,26911,상무역 5번 출구 앞,치평동주민센터
GJA-0103,20200701150454 ,20200701,150454,20200701163733 ,D-0023,D-0022,13279,sm 미 성형외과 앞,상무역 5번 출구 앞
GJA-0188,20200701153803 ,20200701,153803,20200701154126 ,D-0014,D-0015,323,의회동 앞,한국은행 앞
GJA-0058,20200701164411 ,20200701,164411,20200701171141 ,D-0004,D-0009,6730,시청 앞,쉐보레 앞
GJA-0024,20200701170427 ,20200701,170427,20200701174805 ,D-0004,D-0014,4378,시청 앞,의회동 앞
