주소,lat,lon
서구 치평동 시 신청사앞,35.16007,126.848452
서구 치평동 운천초등학교앞,35.151605,126.848382
서구 마륵동 지하철종합사령실앞(상무역),35.146693,126.848698
서구 쌍촌동 상무중학교앞,35.144263,126.857249
서구 금호동 금호중학교앞,35.137679,126.858893
서구 금호동 마재초등학교앞,35.132572,126.86275
서구 풍암동 월드컵경기장앞,35.132274,126.873114
서구 풍암동 풍암지구,35.127058,126.877326
남구 주월동 금당중학교앞,35.130164,126.8865
남구 주월동 장산초등학교앞,35.133337,126.894191
남구 주월동 백운광장,35.13319,126.901898
남구 주월동 남광주농협앞,35.134253,126.910228
남구 방림동 방림삼거리,35.135981,126.917921
동구 학동 남광주역,35.139254,126.922996
동구 서석동 조선대학교앞,35.144009,126.925861
동구 지산동 동명사거리,35.150857,126.930342
동구 산수동 산수오거리,35.154744,126.931913
북구 풍향동 광주교육대학앞,35.163495,126.924583
광주역,35.167131,126.909978
