행정동,20~30대 인구수,총인구,유동인구,정류장수,정류장인원수
건국동,6405,22605 ,358766,0,0
계림동,4904,18182 ,158006,0,0
광천동,2153,8639 ,196750,3,119664
금호동,12332,49692 ,170268,1,18878
농성동,4725,16196 ,213296,0,0
대촌동,1116,6216 ,46668,0,0
도산동,4446,15817 ,60538,0,0
동곡동,316,1932 ,4999,0,0
동림동,6754,23770 ,215542,0,0
동명동,1156,3873 ,87081,1,24624
동천동,3647,16369 ,126107,1,11951
두암동,9074,38325 ,127976,2,26643
매곡동,3682,14126 ,166634,1,22322
문화동,4963,19028 ,66839,0,0
문흥동,8751,32687 ,134114,0,0
방림동,3919,16187 ,151103,0,0
백운동,4869,18887 ,176225,0,0
본량동,280,2065 ,0,0,0
봉선동,9828,43259 ,269705,1,19445
비아동,1815,7295 ,11295,0,0
사직동,1316,5418 ,52210,0,0
산수동,4795,19251 ,160737,0,0
삼각동,4046,14390 ,97817,0,0
삼도동,333,2278 ,7656,0,0
상무동,15662,49138 ,371737,1,9528
서남동,1251,3230 ,243958,1,14313
서창동,1441,5944 ,112161,0,0
석곡동,471,2671 ,6556,0,0
송암동,6243,20347 ,152329,0,0
송정동,4830,17818 ,94185,1,11147
수완동,20091,78158 ,303767,0,0
신가동,5125,19144 ,382892,0,0
신안동,3925,11842 ,164994,0,0
신용동,8405,29709 ,53154,0,0
신창동,10393,35297 ,120630,0,0
신흥동,1170,4725 ,30242,0,0
양동,1900,8780 ,159950,1,9865
양림동,1536,7325 ,63297,0,0
양산동,11201,38182 ,219919,0,0
어령동,9548,32945 ,134250,0,0
오치동,6566,24078 ,126782,2,20951
용봉동,1192,38683 ,480184,1,13130
우산동(광산구),8503,27596 ,398123,0,0
우산동(북구),2352,10714 ,61334,2,28550
운남동,8839,31621 ,190274,1,19446
운암동,11479,45077 ,390809,3,86709
월곡동,7506,27626 ,78224,1,22257
월산동,5697,22893 ,203970,0,0
유덕동,3117,10770 ,269891,0,0
일곡동,7750,30499 ,46681,3,31875
임곡동,283,2140 ,12903,1,27664
임동,2057,7943 ,72845,0,0
주월동,7116,27922 ,416178,1,13056
중앙동,919,3273 ,85445,0,0
중흥동,5690,16812 ,82416,0,0
지산동,2717,9157 ,137074,0,0
지원동,6928,24594 ,136984,0,0
첨단동,22496,71600 ,388521,1,9403
충장동,1684,4546 ,369559,2,23536
치평동,9873,30602 ,571711,1,8648
평동,896,4122 ,28128,0,0
풍암동,9696,37513 ,267989,3,36257
풍향동,1571,6017 ,43827,0,0
하남동,6538,23400 ,776453,0,0
학동,2314,8167 ,247710,3,48773
학운동,2503,11897 ,41664,0,0
화정동,17487,62933 ,416288,0,0
효덕동,11856,46125 ,119038,0,0
