가상번호,분류,제목,등록일자,처리상태
26883,건설ㆍ교통,스쿨존 불법오토바이,작성일시 : 2021/11/30,
26881,건설ㆍ교통,건설행정과 직원들의 불합리한 단속을 신고합니다,작성일시 : 2021/11/29,
26880,건설ㆍ교통,동명동 인도공사인가 주차장공사인가?2,작성일시 : 2021/11/29,
26876,건설ㆍ교통,동명동 인도공사인가 주차장공사인가?,작성일시 : 2021/11/29,접수
26845,건설ㆍ교통,동명동 인도주차 위험,작성일시 : 2021/11/28,접수
26844,기타,"지적재조사, 건축과 불법건축담당은 답변을 달면 문자 바랍니다.",작성일시 : 2021/11/28,답변완료
,,,,(처리완료)
26843,기타,청장님과 비서실장에게 얘기한 것입니다,작성일시 : 2021/11/28,접수
26842,보건ㆍ복지,친절하고 자상한 보건소 방문보건계 직원,작성일시 : 2021/11/27,답변완료
,,,,(처리완료)
26841,건설ㆍ교통,학교앞 무허가하우스,작성일시 : 2021/11/27,접수
26840,건설ㆍ교통,동명동 보도블럭 불법 주차,작성일시 : 2021/11/27,접수
26839,도시ㆍ건축,충장로 5가 상가지역 화분,작성일시 : 2021/11/27,접수
26836,건설ㆍ교통,지원2동주민센터옆 공사 인도길막음 해결해주세오,작성일시 : 2021/11/27,접수
26835,건설ㆍ교통,동명동 부리나치킨삼거리신호등신설요망,작성일시 : 2021/11/27,답변완료
,,,,(처리중)
26834,도시ㆍ건축,건축과 이현승님.,작성일시 : 2021/11/27,접수
26830,건설ㆍ교통,조대후문 일방통행로 위험합니다.,작성일시 : 2021/11/26,접수
26829,건설ㆍ교통,공사로인해 인도보행 불가합니다,작성일시 : 2021/11/26,답변완료
,,,,(처리중)
26826,건설ㆍ교통,동명로 도로에 관하여,작성일시 : 2021/11/26,접수
26824,건설ㆍ교통,충장로5가 엔터빌딩 맞은편 건물내 공사,작성일시 : 2021/11/26,접수
26823,건설ㆍ교통,"증심사길 블라드 교체, 딱 한 군데만 빼놓은 이유를 알고 싶습니다.",작성일시 : 2021/11/26,접수
26821,기타,음식조리사,작성일시 : 2021/11/26,접수
26817,보건ㆍ복지,조건유예.근로능력재판정중.,작성일시 : 2021/11/26,답변완료
,,,,(처리완료)
26816,보건ㆍ복지,조건유예.근로능력재판정중.,작성일시 : 2021/11/26,답변완료
,,,,(처리완료)
26815,도시ㆍ건축,전신주 단자함 열림,작성일시 : 2021/11/26,답변완료
,,,,(처리완료)
26814,도시ㆍ건축,(급)질의,작성일시 : 2021/11/25,답변완료
,,,,(처리완료)
26813,도시ㆍ건축,건축과 철거관련과 조수연 주무관님 칭찬합니다,작성일시 : 2021/11/25,답변완료
,,,,(처리완료)
26812,건설ㆍ교통,동명동 인도 공사,작성일시 : 2021/11/25,접수
26810,기타,내집앞주차지역표시,작성일시 : 2021/11/25,접수
26808,미담사례,"청년체육과 이수일계장님, 정호엽 주무관님 감사합니다.",작성일시 : 2021/11/25,답변완료
,,,,(처리완료)
26799,미담사례,칭찬합니다,작성일시 : 2021/11/24,답변완료
,,,,(처리완료)
26791,건설ㆍ교통,조대후문 살레시오여고 앞 너무 위험합니다.,작성일시 : 2021/11/24,답변완료
,,,,(처리중)
26788,건설ㆍ교통,보안등고장입니다,작성일시 : 2021/11/23,답변완료
,,,,(처리완료)
26786,건설ㆍ교통,주정차위반단속을 경찰로 이관바랍니다,작성일시 : 2021/11/23,답변완료
,,,,(처리중)
26777,기타,건축과 이현승님께 요청합니다 2,작성일시 : 2021/11/23,답변완료
,,,,(처리완료)
26775,보건ㆍ복지,제 글 비밀번호가 바꼈네요?,작성일시 : 2021/11/23,답변완료
,,,,(처리완료)
26760,건설ㆍ교통,소태동 태광시프드앞 주차정비 요망,작성일시 : 2021/11/23,답변완료
,,,,(처리완료)
26759,보건ㆍ복지,충장축제방역,작성일시 : 2021/11/23,답변완료
,,,,(처리완료)
26758,도시ㆍ건축,불법 건축물 신고(같은 내용 3번째. 몇번 신고하면 처리하나요?),작성일시 : 2021/11/23,답변완료
,,,,(처리완료)
26757,보건ㆍ복지,조건유예.근로능력재판정중.,작성일시 : 2021/11/22,답변완료
,,,,(처리완료)
26755,환경ㆍ청소,개념없는 애완견 주인 배변 방법없을까요?,작성일시 : 2021/11/22,답변완료
,,,,(처리완료)
26747,건설ㆍ교통,살레오시오여고 옆 일방통행로 불법주정차,작성일시 : 2021/11/22,답변완료
,,,,(처리중)
26744,기타,충장축제 해도해도 너무하네요,작성일시 : 2021/11/21,답변완료
,,,,(처리중)
26743,건설ㆍ교통,보안등 고장,작성일시 : 2021/11/21,답변완료
,,,,(처리완료)
26742,건설ㆍ교통,동명동 인도공사? 주차장?,작성일시 : 2021/11/21,접수
26741,건설ㆍ교통,동명동 거리 인도 설치 후 주차 문제,작성일시 : 2021/11/21,답변완료
,,,,(처리중)
26740,도시ㆍ건축,"아파트 1층 상가 cu편의점 앞 불법적으로 테이블,의자,천막을 처놓고 영업을 하고있습니다. 보행자가 안전하게 통행 할수있게 제발 불법적치물 수거 해가주세요!",작성일시 : 2021/11/20,답변완료
,,,,(처리완료)
26739,건설ㆍ교통,살레시오여고 옆 오토바이 소음,작성일시 : 2021/11/20,답변완료
,,,,(처리완료)
26738,환경ㆍ청소,푸른길 잡상인,작성일시 : 2021/11/20,답변완료
,,,,(처리완료)
26737,기타,어찌 연락이 없으시네요,작성일시 : 2021/11/20,답변완료
,,,,(처리완료)
26736,도시ㆍ건축,가설문철거,작성일시 : 2021/11/20,접수
26734,건설ㆍ교통,가로등 고장이요,작성일시 : 2021/11/19,답변완료
,,,,(처리완료)
26731,보건ㆍ복지,식당인지 주차장인지,작성일시 : 2021/11/19,접수
26729,건설ㆍ교통,조대후문 살레시오여고 일방통행로 위험합니다.,작성일시 : 2021/11/19,답변완료
,,,,(처리완료)
26725,도시ㆍ건축,계림교회 십자가 빛 공해가 너무 심합니다.,작성일시 : 2021/11/19,답변완료
,,,,(처리완료)
26720,도시ㆍ건축,재개발 진행 요청건,작성일시 : 2021/11/18,답변완료
,,,,(처리완료)
26719,기타,도시텃밭 분양 신청은 언제 받나요?,작성일시 : 2021/11/18,답변완료
,,,,(처리완료)
26717,건설ㆍ교통,주차장문제,작성일시 : 2021/11/18,답변완료
,,,,(처리완료)
26716,보건ㆍ복지,노인일자리정다운교육,작성일시 : 2021/11/18,답변완료
,,,,(처리완료)
26715,건설ㆍ교통,조대후문 살레시오여고 옆 위험합니다.,작성일시 : 2021/11/18,답변완료
,,,,(처리중)
26712,도시ㆍ건축,주차장 영업,작성일시 : 2021/11/18,접수
26685,기타,맨홀뚜껑덜컹거림,작성일시 : 2021/11/18,답변완료
,,,,(처리완료)
26684,기타,가로등 고장요,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26683,건설ㆍ교통,퇴근시간때 월남동쪽 순환입구 교통정리 해주세요,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
26681,건설ㆍ교통,지산동 조대후문 오토바이 매우 위험합니다.,작성일시 : 2021/11/17,답변완료
,,,,(처리완료)
