분류,제목,날짜_월,날짜_일
건설교통,스쿨존 불법오토바이,11,30
건설교통,건설행정과 직원들의 불합리한 단속을 신고합니다,11,29
건설교통,동명동 인도공사인가 주차장공사인가,11,29
건설교통,동명동 인도공사인가 주차장공사인가,11,29
건설교통,동명동 인도주차 위험,11,28
기타,지적재조사 건축과 불법건축담당은 답변을 달면 문자 바랍니다,11,28
기타,청장님과 비서실장에게 얘기한 것입니다,11,28
보건복지,친절하고 자상한 보건소 방문보건계 직원,11,27
건설교통,학교앞 무허가하우스,11,27
건설교통,동명동 보도블럭 불법 주차,11,27
도시건축,충장로 가 상가지역 화분,11,27
건설교통,지원동주민센터옆 공사 인도길막음 해결해주세오,11,27
건설교통,동명동 부리나치킨삼거리신호등신설요망,11,27
도시건축,건축과 이현승님,11,27
건설교통,조대후문 일방통행로 위험합니다,11,26
건설교통,공사로인해 인도보행 불가합니다,11,26
건설교통,동명로 도로에 관하여,11,26
건설교통,충장로가 엔터빌딩 맞은편 건물내 공사,11,26
건설교통,증심사길 블라드 교체 딱 한 군데만 빼놓은 이유를 알고 싶습니다,11,26
기타,음식조리사,11,26
보건복지,조건유예근로능력재판정중,11,26
보건복지,조건유예근로능력재판정중,11,26
도시건축,전신주 단자함 열림,11,26
도시건축,급질의,11,25
도시건축,건축과 철거관련과 조수연 주무관님 칭찬합니다,11,25
건설교통,동명동 인도 공사,11,25
기타,내집앞주차지역표시,11,25
미담사례,청년체육과 이수일계장님 정호엽 주무관님 감사합니다,11,25
미담사례,칭찬합니다,11,24
건설교통,조대후문 살레시오여고 앞 너무 위험합니다,11,24
건설교통,보안등고장입니다,11,23
건설교통,주정차위반단속을 경찰로 이관바랍니다,11,23
기타,건축과 이현승님께 요청합니다 ,11,23
보건복지,제 글 비밀번호가 바꼈네요,11,23
건설교통,소태동 태광시프드앞 주차정비 요망,11,23
보건복지,충장축제방역,11,23
도시건축,불법 건축물 신고같은 내용 번째 몇번 신고하면 처리하나요,11,23
보건복지,조건유예근로능력재판정중,11,22
환경청소,개념없는 애완견 주인 배변 방법없을까요,11,22
건설교통,살레오시오여고 옆 일방통행로 불법주정차,11,22
기타,충장축제 해도해도 너무하네요,11,21
건설교통,보안등 고장,11,21
건설교통,동명동 인도공사 주차장,11,21
건설교통,동명동 거리 인도 설치 후 주차 문제,11,21
도시건축,아파트 층 상가 편의점 앞 불법적으로 테이블의자천막을 처놓고 영업을 하고있습니다 보행자가 안전하게 통행 할수있게 제발 불법적치물 수거 해가주세요,11,20
건설교통,살레시오여고 옆 오토바이 소음,11,20
환경청소,푸른길 잡상인,11,20
기타,어찌 연락이 없으시네요,11,20
도시건축,가설문철거,11,20
건설교통,가로등 고장이요,11,19
보건복지,식당인지 주차장인지,11,19
건설교통,조대후문 살레시오여고 일방통행로 위험합니다,11,19
도시건축,계림교회 십자가 빛 공해가 너무 심합니다,11,19
도시건축,재개발 진행 요청건,11,18
기타,도시텃밭 분양 신청은 언제 받나요,11,18
건설교통,주차장문제,11,18
보건복지,노인일자리정다운교육,11,18
건설교통,조대후문 살레시오여고 옆 위험합니다,11,18
도시건축,주차장 영업,11,18
기타,맨홀뚜껑덜컹거림,11,18
기타,가로등 고장요,11,17
건설교통,퇴근시간때 월남동쪽 순환입구 교통정리 해주세요,11,17
건설교통,지산동 조대후문 오토바이 매우 위험합니다,11,17
기타,지산동 원룸근처 개짖는 소리로 인한 소음,11,17
건설교통,지산동 조대후문 오토바이들 너무 위험합니다,11,17
환경청소,돌출간판이 위험 합니다,11,17
도시건축,감사지적 이행사항 확인요망,11,16
환경청소,지산동정류장일대 모기떼피해,11,16
도시건축,가구 다차량 주차에 따른 수익,11,16
도시건축,주차장,11,16
기타,행단보도 입구 바닥 보수좀 해주세용,11,16
건설교통,삼총사 부동산과 해드림 부동산 이면도로 황색 주차선,11,16
도시건축,주변 건물 리모델링 시 소음 및 분진 문제 계도 요청 건,11,16
건설교통,동명동통 통공용주차장마련 시급,11,16
환경청소,지산동 로타리사거리 깔따구,11,15
보건복지,담당 공무원의 잘못된 안내로 인한 행정 오류 시정 요,11,15
건설교통,당 아파트 정문 교통섬 안전시설물 설치 요망,11,15
건설교통,동명동 거리 주차민원,11,15
건설교통,동명동 카페거리 도로정비공사 목적,11,14
도시건축,건축과 이현승님께 요청합니다,11,14
환경청소,소음,11,13
환경청소,산책로의 물고임,11,12
환경청소,선교동 쓰레기방치,11,12
도시건축,프랑카드 불법,11,11
건설교통,인도 없는 도로변 출구,11,11
도시건축,불법건축물 의심,11,11
도시건축,정확한 판단을 요청합니다,11,11
건설교통,예술의거리 주차장과단속에관한,11,10
건설교통,산수동 재개발,11,10
건설교통,어린이보호구역내 주정차,11,10
건설교통,주정차 단속,11,10
미담사례,오래도록보고싶은사람,11,10
건설교통,월남동호반차 와이미트앞 주차건,11,10
건설교통,보도블럭 공사 왜 합니까 주차를 더 안전하게 하기 위해서,11,9
도시건축,리모델링중 도로변 출입구 적법여부,11,9
도시건축,프랑카드 불법유무 ,11,9
건설교통,인도 침범한 공사가설 가림막,11,9
기타,자가격리생활지원금,11,9
기타,동구 유치원 부족합니다 ,11,9
기타,건축과 이현승님 하나 더요,11,9
기타,건축과 이현승님 답변이 너무 느리네요,11,9
건설교통,남광주시장 천변우로 차선 주차차량때문에 사고날뻔했습니다,11,9
환경청소,소음,11,8
건설교통,보안등 수리,11,8
건설교통,택시 정거장 재단장 요청 ,11,8
건설교통,정말 지칩니다 불법주정차,11,8
건설교통,통행불편 해결부탁합니다,11,8
기타,주민등록표정정요청입니다 수정 후 재등록,11,8
건설교통,누구를 위한 보도환경공사인가,11,8
공원체육,광주 동구문화센터 배드민턴장 빨리 개방하세요,11,8
환경청소,불법 폐기물 투기자 신고합니다,11,8
건설교통,보행도로,11,7
건설교통,가로등 고장,11,7
환경청소,소음,11,7
환경청소,북극곰의 하소연,11,7
환경청소,소음,11,6
건설교통,계림동 상습 사고구간 ,11,6
환경청소,거리 관리,11,5
건설교통,산수동 재개발,11,5
건설교통,산수동해광맨션 언덕길 불법주차 및 주정차 금지 선 보수,11,5
건설교통,주정차단속,11,5
건설교통,금남로 가역 사거리 주차단속 요청,11,5
공원체육,동구 문화센터 배드민턴장 이용,11,5
