분류,제목,날짜_월,날짜_일,분기
건설ㆍ교통,동명동 인도공사인가 주차장공사인가?,11,29,4
건설ㆍ교통,동명동 인도주차 위험,11,28,4
건설ㆍ교통,학교앞 무허가하우스,11,27,4
건설ㆍ교통,동명동 보도블럭 불법 주차,11,27,4
건설ㆍ교통,지원2동주민센터옆 공사 인도길막음 해결해주세오,11,27,4
건설ㆍ교통,동명동 부리나치킨삼거리신호등신설요망,11,27,4
건설ㆍ교통,조대후문 일방통행로 위험합니다.,11,26,4
건설ㆍ교통,공사로인해 인도보행 불가합니다,11,26,4
건설ㆍ교통,동명로 도로에 관하여,11,26,4
건설ㆍ교통,충장로5가 엔터빌딩 맞은편 건물내 공사,11,26,4
건설ㆍ교통,"증심사길 블라드 교체, 딱 한 군데만 빼놓은 이유를 알고 싶습니다.",11,26,4
건설ㆍ교통,동명동 인도 공사,11,25,4
건설ㆍ교통,조대후문 살레시오여고 앞 너무 위험합니다.,11,24,4
건설ㆍ교통,보안등고장입니다,11,23,4
건설ㆍ교통,주정차위반단속을 경찰로 이관바랍니다,11,23,4
건설ㆍ교통,소태동 태광시프드앞 주차정비 요망,11,23,4
건설ㆍ교통,살레오시오여고 옆 일방통행로 불법주정차,11,22,4
건설ㆍ교통,보안등 고장,11,21,4
건설ㆍ교통,동명동 인도공사? 주차장?,11,21,4
건설ㆍ교통,동명동 거리 인도 설치 후 주차 문제,11,21,4
건설ㆍ교통,살레시오여고 옆 오토바이 소음,11,20,4
건설ㆍ교통,가로등 고장이요,11,19,4
건설ㆍ교통,조대후문 살레시오여고 일방통행로 위험합니다.,11,19,4
건설ㆍ교통,주차장문제,11,18,4
건설ㆍ교통,조대후문 살레시오여고 옆 위험합니다.,11,18,4
건설ㆍ교통,퇴근시간때 월남동쪽 순환입구 교통정리 해주세요,11,17,4
건설ㆍ교통,지산동 조대후문 오토바이 매우 위험합니다.,11,17,4
건설ㆍ교통,지산동 조대후문 오토바이들 너무 위험합니다.,11,17,4
건설ㆍ교통,삼총사 부동산과 해드림 부동산 이면도로 황색 주차선,11,16,4
건설ㆍ교통,동명동10통 9통공용주차장마련 시급,11,16,4
건설ㆍ교통,당 아파트 정문 교통섬 안전시설물 설치 요망,11,15,4
건설ㆍ교통,동명동 거리 주차민원,11,15,4
건설ㆍ교통,동명동 카페거리 도로정비공사 목적,11,14,4
건설ㆍ교통,인도 없는 도로변 출구,11,11,4
건설ㆍ교통,예술의거리 주차장과단속에관한,11,10,4
건설ㆍ교통,산수2동 재개발,11,10,4
건설ㆍ교통,어린이보호구역내 주정차,11,10,4
건설ㆍ교통,주정차 단속,11,10,4
건설ㆍ교통,월남동호반1차 와이미트앞 주차건,11,10,4
건설ㆍ교통,보도블럭 공사 왜? 합니까?? 주차를 더 안전하게 하기 위해서.......,11,9,4
건설ㆍ교통,인도 침범한 공사가설 가림막,11,9,4
건설ㆍ교통,남광주시장 천변우로 1차선 주차차량때문에 사고날뻔했습니다.,11,9,4
건설ㆍ교통,보안등 수리,11,8,4
건설ㆍ교통,택시 정거장 재단장 요청 (1),11,8,4
건설ㆍ교통,정말 지칩니다 불법주정차,11,8,4
건설ㆍ교통,통행불편 해결부탁합니다,11,8,4
건설ㆍ교통,누구를 위한 보도환경공사인가???,11,8,4
건설ㆍ교통,보행도로,11,7,4
건설ㆍ교통,가로등 고장,11,7,4
건설ㆍ교통,계림동 상습 사고구간 !!!,11,6,4
건설ㆍ교통,산수동 재개발,11,5,4
건설ㆍ교통,산수동해광맨션 언덕길 불법주차 및 주정차 금지 선 보수,11,5,4
건설ㆍ교통,주정차단속,11,5,4
건설ㆍ교통,금남로 5가역 사거리 주차단속 요청,11,5,4
건설ㆍ교통,보안등· 해중퇴치기 고장,11,4,4
건설ㆍ교통,계림2동 행정복지센터 신축관련,11,3,4
건설ㆍ교통,동계천로 불법주차 문제,11,3,4
건설ㆍ교통,"주차단속도 좀 하고, 주차 못하게 탄력규제봉 설치 바랍니다",11,2,4
건설ㆍ교통,어린이보호구역 주정차 금지,11,2,4
건설ㆍ교통,어린이보호구역 주정차,11,2,4
건설ㆍ교통,주정차단속 직원 불친절,11,2,4
건설ㆍ교통,동명동 거리공사 -주차민원,11,2,4
건설ㆍ교통,지산ic 주차공간 문제,11,1,4
건설ㆍ교통,그랜드센트럴 108동 임대아파트에 관하여...,11,1,4
건설ㆍ교통,개념없는 불법 주정차,11,1,4
건설ㆍ교통,용산생활체육공원 주변 교통불편,11,1,4
건설ㆍ교통,동계천로 보행도로 공사중인데 걱정이되는데요,10,30,4
건설ㆍ교통,소음,10,30,4
건설ㆍ교통,건의합니다.,10,30,4
건설ㆍ교통,가로등 점검,10,29,4
건설ㆍ교통,인도없는 경사로 도로쪽 출입구 개설 문제,10,29,4
건설ㆍ교통,산수동 도로개통관련 민원,10,29,4
건설ㆍ교통,불법주정차 단속 아에 안하죠?,10,28,4
건설ㆍ교통,그랜드센트럴 정문 불법주정차좀 제발 없게해주세요,10,27,4
건설ㆍ교통,법원 앞 불법주차단속,10,27,4
건설ㆍ교통,두산3차 정문 건너편 인도 안전펜스,10,27,4
건설ㆍ교통,파손된 포장도로 보수건,10,26,4
건설ㆍ교통,제발 교통영향 고려없는 획일적인 주차단속을 멈춰주세요,10,25,4
건설ㆍ교통,경양로 푸른길공원 횡단보도 현수막철거요청,10,25,4
건설ㆍ교통,동명동에 미양심 주민을 신고합니다. 조치 바랍니다.,10,23,4
건설ㆍ교통,지원1동 모아미래도 앞 인도 설치 건의드립니다.,10,22,4
건설ㆍ교통,학교 앞 CCTV설치요망,10,22,4
건설ㆍ교통,골목길 포장을 요청한 주민 의견입니다,10,22,4
건설ㆍ교통,동명동카페거리불법주차너무많아요,10,21,4
건설ㆍ교통,하수구함몰과 도로 파임,10,21,4
건설ㆍ교통,광주광역시 동구 학동 소재 남광교와 학강교 구간의 천변우로 천변쪽 인도 바닥면 보수 및 개선 요청 드립니다.,10,21,4
건설ㆍ교통,가로등 안전문제로 교체요구 실마유ㅠㅠㅠㅠ,10,20,4
건설ㆍ교통,동네주차,10,19,4
건설ㆍ교통,학동조대부고 근처 소방도로공사,10,19,4
건설ㆍ교통,주정차 및 역주행 문제,10,19,4
건설ㆍ교통,아침부터 주차단속,10,19,4
건설ㆍ교통,전신주 가로등 고장,10,16,4
건설ㆍ교통,가로등 설치 의견,10,14,4
건설ㆍ교통,금남공원옆골목 주차 단속해주세요,10,14,4
건설ㆍ교통,소태동 어르신들을 위한 인도가 절실히 필요합니다.,10,13,4
건설ㆍ교통,소방도로 공사 진행과 전주 이전에 관한 건,10,13,4
건설ㆍ교통,현수막 이전설치 부탁드립니다,10,13,4
건설ㆍ교통,가로등 설치가 필요합니다,10,13,4
건설ㆍ교통,9월30일자글에 대한 10월7일 답변 반박,10,12,4
