분류,제목,날짜_월,날짜_일,분기
공원ㆍ체육,광주 동구문화센터 배드민턴장 빨리 개방하세요,11,8,4
공원ㆍ체육,동구 문화센터 배드민턴장 이용?,11,5,4
공원ㆍ체육,푸른길 말벌집 철거 요청,11,3,4
공원ㆍ체육,제안,11,2,4
공원ㆍ체육,주민을 칭찬합니다,10,22,4
공원ㆍ체육,너릿재 정자 보수 요청,10,21,4
공원ㆍ체육,월남호반2차 공원 설치물 의 방향,10,18,4
공원ㆍ체육,두암근린공원과 상가뒷길주차장쓰레기문제심각성,10,15,4
공원ㆍ체육,26056월남호반2차앞공원공사중단민원추가글,10,7,4
공원ㆍ체육,월남호반2차앞공원공사중단요청합니다,10,6,4
공원ㆍ체육,"26056번월남호반공원공사의견,위드코로나 시대에맞는 행정절실",10,5,4
공원ㆍ체육,둥구 푸른길 수종팻말,9,30,3
공원ㆍ체육,도심건강길 1길 시설물 관리,9,13,3
공원ㆍ체육,공원 잡초가 무성하여 모기 때문에 못살겠다는 민원,9,10,3
공원ㆍ체육,동구 국민 체육센터 칭찬합니다 (1),9,9,3
공원ㆍ체육,빛고을산들길(등산로길) 잡초 제거좀 해 주세요,9,5,3
공원ㆍ체육,푸른길공원등 보수 바랍니다,9,4,3
공원ㆍ체육,천변산책로 인도좀 만들어주세요 (1),9,4,3
공원ㆍ체육,우리도 실외 배드민턴장이 있었으면 좋겠어요.,9,1,3
공원ㆍ체육,공원 관리에 관해서,8,30,3
공원ㆍ체육,계림동 그랜드센트럴 아파트 옆 중앙공원 인도 물고임 조치요청 (1),8,27,3
공원ㆍ체육,두암제2근린공원가로등이모두꺼짐,8,16,3
공원ㆍ체육,계림동 그랜드센트럴 수영장 (2),8,16,3
공원ㆍ체육,아이들 신나는 주말체육학교 운영에 관해 문의드립니다.,8,2,3
공원ㆍ체육,인도 에 물이차서 불편합니다,7,29,3
공원ㆍ체육,농장다리 밑 피아노 소음,7,28,3
공원ㆍ체육,월남동 호반과 용산체육공원 중간쯤 되는 천변 산책길 (2),7,25,3
공원ㆍ체육,동구 용산생활체육공원 축구장,7,21,3
공원ㆍ체육,동구청이 앞장서 푸른길을 훼손해도 되나요? (4),7,21,3
공원ㆍ체육,"푸른길에서 애완견 입막음 의무화 조치 , 애완견 입막음 안내 표지판 설치 및 CCTV 설치 요망 (6)",7,20,3
공원ㆍ체육,스피커 音 (1),7,16,3
공원ㆍ체육,푸른마을 공동체.다목적실 사용 (3),7,14,3
공원ㆍ체육,5.18민주광장 분수대 주변 화분 사고처리는 언제쯤,7,14,3
공원ㆍ체육,체육공원 내 마스크 미착용 문제,7,11,3
공원ㆍ체육,푸른길 자전거 보관대 관리 (1),7,10,3
공원ㆍ체육,무등산 산책로 난리났네 난리났어,7,8,3
공원ㆍ체육,다목적체육관 시설 보강 요,7,2,3
공원ㆍ체육,푸른길공원산책로 관련 불편사항입니다,7,1,3
공원ㆍ체육,풀벅,7,1,3
공원ㆍ체육,새벽 1시에 놀이터소음 (1),6,28,2
공원ㆍ체육,동적골 가로등,6,26,2
공원ㆍ체육,지원동 골드크레스 하천변 녹지지대 소나무 고사,6,24,2
공원ㆍ체육,풍향놀이터,6,21,2
공원ㆍ체육,♡빛고을 산들길♡ 잡초제거(화산마을~분적산 오르는 등산길)요청 합니다.,6,17,2
공원ㆍ체육,운동기구 보수,6,12,2
공원ㆍ체육,동구다목적 체육관 이용 불편 민원,6,9,2
공원ㆍ체육,동구다목적체육관의 행정 편의주를 고발한다,6,9,2
공원ㆍ체육,용산체육공원 폭죽놀이,6,8,2
공원ㆍ체육,지산유원지 가는 인도 (1),6,8,2
공원ㆍ체육,동적골 산책로 도로 (1),6,8,2
공원ㆍ체육,동구다목적체육관의 안일한 시간운영의 시정을 촉구합니다.,6,8,2
공원ㆍ체육,운동장 이용에 관해 문의드립니다.,6,7,2
공원ㆍ체육,산수동 문화마당 통통장터에 중앙에 쓰레기 분리수거설치 옳은 행정인가요?,5,31,2
공원ㆍ체육,장원정 시계약 넣어주세요,5,24,2
공원ㆍ체육,산책로 가로등 정비 및 제초작업 요망,5,22,2
공원ㆍ체육,산수공원 잣나무 (1),5,10,2
공원ㆍ체육,공원 볼라드 설치 부탁드립니다! (1),5,9,2
공원ㆍ체육,학동에도 공원과 작은도서관 필요.산책 및 쉴 공간이 없음,5,8,2
공원ㆍ체육,파3골프장 (1),5,4,2
공원ㆍ체육,천변산책로 가로등 점검요망,5,3,2
공원ㆍ체육,계림동 그랜드센트럴 단지 팬스치는 것 반대합니다. (1),4,29,2
공원ㆍ체육,신양파크호텔부지 (1),4,25,2
공원ㆍ체육,고사된 나무 교체 요청,4,23,2
공원ㆍ체육,동구 체육회 산하 조직의 불법적인 행위를 신고하고자 합니다.,4,21,2
공원ㆍ체육,지원동 골드클래스 옆 녹지지대 고사목 식재요청,4,19,2
공원ㆍ체육,벤치를 설치해주세요,4,19,2
공원ㆍ체육,동구스포츠클럽의 코트 독점행위와 클럽 외 사람 운동 못 하도록 압박행위 건,4,16,2
공원ㆍ체육,가로등수리좀요,4,16,2
공원ㆍ체육,무등산그린웰로제비앙 기부채납지 소공원 출입금지 팻말 정비 요망,4,13,2
공원ㆍ체육,공원관리 문의 (1),4,12,2
공원ㆍ체육,선교저수지 건널목,4,11,2
