분류,제목,날짜_월,날짜_일,분기
도시ㆍ건축,충장로 5가 상가지역 화분,11,27,4
도시ㆍ건축,건축과 이현승님.,11,27,4
도시ㆍ건축,전신주 단자함 열림,11,26,4
도시ㆍ건축,(급)질의,11,25,4
도시ㆍ건축,건축과 철거관련과 조수연 주무관님 칭찬합니다,11,25,4
도시ㆍ건축,불법 건축물 신고(같은 내용 3번째. 몇번 신고하면 처리하나요?),11,23,4
도시ㆍ건축,"아파트 1층 상가 cu편의점 앞 불법적으로 테이블,의자,천막을 처놓고 영업을 하고있습니다. 보행자가 안전하게 통행 할수있게 제발 불법적치물 수거 해가주세요!",11,20,4
도시ㆍ건축,가설문철거,11,20,4
도시ㆍ건축,계림교회 십자가 빛 공해가 너무 심합니다.,11,19,4
도시ㆍ건축,재개발 진행 요청건,11,18,4
도시ㆍ건축,주차장 영업,11,18,4
도시ㆍ건축,감사지적 이행사항 확인요망,11,16,4
도시ㆍ건축,1가구 다차량 주차에 따른 수익,11,16,4
도시ㆍ건축,주차장,11,16,4
도시ㆍ건축,주변 건물 리모델링 시 소음 및 분진 문제 계도 요청 건,11,16,4
도시ㆍ건축,건축과 이현승님께 요청합니다.,11,14,4
도시ㆍ건축,프랑카드 불법,11,11,4
도시ㆍ건축,불법건축물 의심,11,11,4
도시ㆍ건축,정확한 판단을 요청합니다,11,11,4
도시ㆍ건축,리모델링중 도로변 출입구 적법여부,11,9,4
도시ㆍ건축,프랑카드 불법유무 ?,11,9,4
도시ㆍ건축,의원나리들은 뭣헌가 몰라잉!,11,5,4
도시ㆍ건축,이제 지칩니다.,11,4,4
도시ㆍ건축,계림동 주민센터 건설에 관하여,11,4,4
도시ㆍ건축,앞서 시민분이 계림2동행정복지센터 공사장 벽과 추가로 공사장 출입구에 관련해 민원남깁니다,11,3,4
도시ㆍ건축,동구 금동 오피스텔로 인한 주택 문제건 처리진행사항,11,3,4
도시ㆍ건축,주택건설사업계획 승인 건축위원회 심의시 주민 참여가 필요하다고 생각합니다.,10,29,4
도시ㆍ건축,위험한 공사장,10,29,4
도시ㆍ건축,비상계단공사 후,10,25,4
