분류,제목,날짜_월,날짜_일,분기
문화ㆍ경제,내남지구 도서관 현황,10,18,4
문화ㆍ경제,다수를 위한 소수의 희생은 당연한건가요,10,18,4
문화ㆍ경제,동명동 장동로와 동계천로 전선지중화공사,10,14,4
문화ㆍ경제,신설되는 지산IC에 관한 건.,10,8,4
문화ㆍ경제,인기 강좌프로그램 개설신청,9,25,3
문화ㆍ경제,청년창업지원 사업을 지원하는 동구청 동구청장님 청년체육과에 감사합니다. (1),9,7,3
문화ㆍ경제,언행일치 (1),9,4,3
문화ㆍ경제,종합소득신고나 부가가치세 신고할수있도록 프로그램개설 (3),8,18,3
문화ㆍ경제,하공의 랜드마크 남광주시장,8,16,3
문화ㆍ경제,전일문화센터 프로그램.시간대,7,27,3
문화ㆍ경제,동구청의 운영비 지원을 받는 동아리가 이러한 조건을 달아도 되는 걸까요?,7,27,3
문화ㆍ경제,운영비가 지급되는 동아리에 이런 조건이 있는게 타당한가요?,7,26,3
문화ㆍ경제,쓰레기봉투 판매점,7,13,3
문화ㆍ경제,현재 공모중인 사업을 엄정 지휘하여 주시길 바랍니다,7,9,3
문화ㆍ경제,일자리공유카페 타지역일자리를 광주광역시와 타지역으로 구분 게시 부탁드립니다,7,7,3
문화ㆍ경제,문화전당 야간경관사업 공정하게 진행해주세요.,7,6,3
문화ㆍ경제,문화전당 야간경관 사업의 공정한 평가를 원합니다.,6,21,2
문화ㆍ경제,세금이 꼭 필요한곳에 쓰여지길 바랍니다.,6,16,2
문화ㆍ경제,평생교육원 대금수업 하반기에도 원합니다,6,15,2
문화ㆍ경제,고등학교 앞 불법 현수막 철거부탁 드립니다.,6,7,2
문화ㆍ경제,강소형 관광지 동명동,6,4,2
문화ㆍ경제,동구 푸른마을공동체 센터,6,1,2
문화ㆍ경제,산수시장간판이 어느때부터 안켜지네요 (1),6,1,2
문화ㆍ경제,영어회화,5,27,2
문화ㆍ경제,궁금합니다(동구도서관 전자책 서비스),5,8,2
문화ㆍ경제,동구시민수당지원사업정책사업,4,14,2
문화ㆍ경제,농로길포장,4,9,2
문화ㆍ경제,산수5거리sk대리점앞노점상단속해라요 (2),3,25,1
문화ㆍ경제,중앙도서관 공사관련 부탁 (8),1,27,1
문화ㆍ경제,"생각없는 동명동 도로개선사업, 보여주기식 도시재생 (9)",1,18,1
문화ㆍ경제,코로나 식당및카페 방역지침 차이 이유,1,4,1
문화ㆍ경제,미로센터에서는 공연이 가능한가요?,12,19,4
문화ㆍ경제,온누리 상품권,12,18,4
문화ㆍ경제,동명동 문화거리,12,15,4
문화ㆍ경제,학1동에 작은도서관과 공원놀이터쉼터 설치필요,12,14,4
문화ㆍ경제,충장축제관련하여(취소인줄 알았는데...),12,3,4
문화ㆍ경제,'2020동구 독서 아카데미' 감사합니다 (1),11,16,4
문화ㆍ경제,동구문화센터 이용시간 연장 요청(2),11,11,4
문화ㆍ경제,동명동 관광안내 기능강화 사업 관련자료,11,5,4
문화ㆍ경제,스마트폰 활용법 강좌 매우 유익합니다. (1),11,3,4
