분류,제목,날짜_월,날짜_일,분기
미담사례,"청년체육과 이수일계장님, 정호엽 주무관님 감사합니다.",11,25,4
미담사례,칭찬합니다,11,24,4
미담사례,오래도록보고싶은사람,11,10,4
미담사례,대한민국건강도시대상수상,10,28,4
미담사례,동구 별빛정원어린이집 박효주 선생님께 감사인사를 전합니다^^~,10,7,4
미담사례,"기획예산실, 신은희 주임님을 칭찬합니다.",9,29,3
미담사례,신은희주임님을 칭찬합니다 (1),9,15,3
미담사례,보건소 장 은주 주무관님 칭찬합니다. (1),9,8,3
미담사례,산수2동 복지담당 신서진님 정말 감사드립니다. (1),9,6,3
미담사례,2021년 아빠는 육아왕 프로그램 최고! (1),9,4,3
미담사례,"임택 구청장님, 육아종합센터 센터장 및 선생님 감사드립니다 (1)",9,4,3
미담사례,르네상스 사업 (1),8,25,3
미담사례,광주동구보건소에 감사드립니다. (1),8,16,3
미담사례,칭찬합니다 (1),8,15,3
미담사례,서해동주민안전담당관님 칭찬합니다 (1),8,13,3
미담사례,김유석 선생님. 감사합니다 (1),8,10,3
미담사례,구청 민원실앞 생수 감사합니다. (1),8,6,3
미담사례,형제 부모보다 더 고마운 사람 (2),7,23,3
미담사례,이분 승진시켜주세요~ (1),7,19,3
미담사례,기획예산실 신은희 주임님을 칭찬합니다. (3),7,1,3
미담사례,동명동행정복지센터 직원분 칭찬합니다. (1),5,25,2
미담사례,육아종합지원센터 최고!! (1),5,20,2
미담사례,청소행정과 윤섭현 계장님을 칭찬합니다!! (1),5,7,2
미담사례,동명동 오승연 직원분 고맙습니다 (1),4,28,2
미담사례,코로나 백신 접종 관련분들에게 감사드려요 (1),4,22,2
미담사례,다회용컵 사용에 앞장선 멋진고객,4,22,2
미담사례,주민을부모와같이모시는우리동장님 (2),4,22,2
미담사례,동 명동 직원 칭찬 합니 다 (2),4,17,2
미담사례,지산1동 김유리주무관님의 친절함에 너무너무 감동했습니다. (1),4,15,2
미담사례,김유석선생님을 칭찬합니다. (1),4,12,2
미담사례,코로나 예방을 위해서 동구청장님과 주무관님 힘써 주시기 바랍니다.,4,7,2
미담사례,지원2동 동장님ㆍ직원분 감사합니다. (5),4,7,2
미담사례,건강정책과 곽정민 계장님을 칭찬합니다. (1),3,22,1
미담사례,[칭찬사례]지적재조사계 김윤호 주무관 칭찬 (1),2,24,1
미담사례,두 아주머니를 칭찬합니다 (1),2,15,1
미담사례,빛고을신문이 알뜰해 졌어요^^ (1),2,7,1
미담사례,미래교육과 송진희 선생님을 칭찬합니다. (1),1,19,1
미담사례,제설작업 감사드립니다 (1),1,18,1
미담사례,2020 동구 청년참여위원회 활동을 돌아보며 (4),12,29,4
미담사례,동구육아종합지원센터 최고예요! (1),12,18,4
미담사례,살레시오여자중.고등학교 담길이 아름답습니다! (1),12,7,4
미담사례,위생과 직원분께 감사드립니다. (1),12,2,4
미담사례,감사합니다. (1),11,19,4
미담사례,지산2동 주민센터 복지관련 여자선생님 칭찬합니다 (1),11,17,4
미담사례,학운동 행정복지센터 칭찬해요~^^ (1),11,4,4
미담사례,"행정복지센터, 건축과, 환경청소과 성의있고 책임감 있는 모습 감사함에 인사 드립니다 (1)",11,3,4
