분류,제목,날짜_월,날짜_일,분기
보건ㆍ복지,친절하고 자상한 보건소 방문보건계 직원,11,27,4
보건ㆍ복지,조건유예.근로능력재판정중.,11,26,4
보건ㆍ복지,조건유예.근로능력재판정중.,11,26,4
보건ㆍ복지,제 글 비밀번호가 바꼈네요?,11,23,4
보건ㆍ복지,충장축제방역,11,23,4
보건ㆍ복지,조건유예.근로능력재판정중.,11,22,4
보건ㆍ복지,식당인지 주차장인지,11,19,4
보건ㆍ복지,노인일자리정다운교육,11,18,4
보건ㆍ복지,담당 공무원의 잘못된 안내로 인한 행정 오류 시정 요,11,15,4
보건ㆍ복지,지역 대형병원 응급실 대응체계 (조대병원),11,3,4
보건ㆍ복지,수술복사CD 우편으로 보내주세요,11,1,4
보건ㆍ복지,독감백신접종,10,21,4
보건ㆍ복지,음식 재활용,10,20,4
보건ㆍ복지,동구행복나눔 봉사단,10,16,4
보건ㆍ복지,동명동 소독 실시 유무 검점 필요,10,5,4
보건ㆍ복지,경로당6,9,16,3
보건ㆍ복지,지금 집회해도 되나요,9,14,3
보건ㆍ복지,안심식당 홍보물품 좋습니다 (1),9,14,3
보건ㆍ복지,돈 벌이에 불 친절한 치과 (3),9,10,3
보건ㆍ복지,동구국민체육센터 외부벤치 흡연건,9,8,3
보건ㆍ복지,국민지원금 사용처 문의,9,6,3
보건ㆍ복지,지산동 동네 연기냄새 민원입니다.,9,6,3
보건ㆍ복지,동구 푸른마을공동체 센터,9,5,3
보건ㆍ복지,백신 주사량 부적절,8,29,3
보건ㆍ복지,동구 어린이집 심폐소생술 (5),8,25,3
보건ㆍ복지,모기 포충기 수리요청,8,19,3
보건ㆍ복지,계림동 상가 화재 위험성 있어 지도 점검 요청합니다! (2),8,19,3
보건ㆍ복지,경로당5,8,18,3
보건ㆍ복지,전화가 안되서 그러는데 전화좀 주세요,8,17,3
보건ㆍ복지,복지.,8,17,3
보건ㆍ복지,경로당4,8,11,3
보건ㆍ복지,경로당3,8,7,3
보건ㆍ복지,경로당2,8,5,3
보건ㆍ복지,장애인 복지 관련!,8,3,3
보건ㆍ복지,동명동 여기카페 식품 위생상태 신고,8,2,3
보건ㆍ복지,광신건설은 아파트를 위험에 빠뜨리고 있습니다,7,23,3
보건ㆍ복지,계림3차-광주고 쪽 그늘쉼터 설치 해주세요,7,23,3
보건ㆍ복지,식당 위생 신고,7,22,3
보건ㆍ복지,마스크미착용 단속요망 (1),7,17,3
보건ㆍ복지,12시 이후 홀영업금지이지만 (1),7,17,3
보건ㆍ복지,식당위생,7,15,3
보건ㆍ복지,"충장로 골목 흡연,쓰레기불법 투기 (1)",7,11,3
보건ㆍ복지,거꾸로 가는 정책_동구 문화센터 다자녀 할인혜택 폐지라니 (1),7,5,3
보건ㆍ복지,계림동 복합행정복지센터건립해주세요,7,3,3
보건ㆍ복지,생계지원금.,6,27,2
보건ㆍ복지,주거생활권 침해(흡연문제) (2),6,23,2
보건ㆍ복지,모기등 각종 해충관련 방역,6,15,2
보건ㆍ복지,소음민원,6,7,2
보건ㆍ복지,동명동 옥외영업,6,5,2
보건ㆍ복지,음주운전,6,2,2
보건ㆍ복지,경로당,6,1,2
보건ㆍ복지,동명동의 심각성 2,6,1,2
보건ㆍ복지,동구에는 거지가 많아요 (1),5,31,2
보건ㆍ복지,민주유공자의 1종 의료보험혜택에 관해,5,28,2
보건ㆍ복지,동명동의 심각성,5,26,2
보건ㆍ복지,다시 위생민원신고합니다,5,26,2
보건ㆍ복지,계림동 메가커피 위생민원,5,25,2
보건ㆍ복지,스크린경마장 노마스크단속 요망,5,23,2
보건ㆍ복지,계림동 메가커피 위생신고합니다,5,22,2
보건ㆍ복지,코로나 75세이상 코로나 예방접종 순서에 대하여,5,14,2
보건ㆍ복지,안녕하세요,5,14,2
보건ㆍ복지,선별진료소 점심시간은 12시부터 아닌가요?,5,11,2
보건ㆍ복지,테라스영업,5,4,2
보건ㆍ복지,코로나 예방접종 안내하는 직원 바꾸세요,4,26,2
보건ㆍ복지,코로나로 영업시간 변경후,4,26,2
보건ㆍ복지,대표회의 안건,4,19,2
보건ㆍ복지,확인부탁드립니다,4,19,2
보건ㆍ복지,보육교사 선제검사,4,15,2
보건ㆍ복지,전남대병원 선별진료소 운영 및 진료기준에 대한 민원,4,11,2
보건ㆍ복지,어르신들 등산모임,4,11,2
보건ㆍ복지,'밤에는 식당 주말엔 결혼식장으로'…코로나 방역 '구슬땀' 공직자들,4,7,2
보건ㆍ복지,산수1동 이종석 주무관님을 칭찬합니다 (1),4,7,2
보건ㆍ복지,불량세입자집 청소요청,4,2,2
보건ㆍ복지,동구 보건소 인바디 측정 전일 공개 요청 (1),4,1,2
보건ㆍ복지,[구청장께 전달] 코로나19 집합금지 위반,3,31,1
보건ㆍ복지,쓰레기및골목길흡연,3,29,1
보건ㆍ복지,야외 마스크 미착용,3,26,1
보건ㆍ복지,금연스티커 부착바랍니다. (1),3,20,1
보건ㆍ복지,동명동 주점 직원 마스크 미착용,3,20,1
보건ㆍ복지,기독교 대안학교 관련 모임,3,18,1
보건ㆍ복지,마스크착용 (1),3,17,1
보건ㆍ복지,출산과 육아,3,16,1
보건ㆍ복지,산수5거리노점상단속확실히단속해주세요12시넘어서 (1),3,14,1
보건ㆍ복지,동구체육센터 방역강화,3,7,1
보건ㆍ복지,방역수칙위반 업장 신고,3,5,1
보건ㆍ복지,5인 이상 집합금지인데,3,2,1
보건ㆍ복지,사람이 죽어가요. (1),3,2,1
보건ㆍ복지,위생 점검해주세요,2,27,1
보건ㆍ복지,코로나19 걸려도 상관이 없는지 보건소 전화는 모두 불통이다. (4),2,25,1
보건ㆍ복지,충장로 꼬냥이카페 방임학대,2,23,1
보건ㆍ복지,전과자가 주민자치위원장이라면.... (2),2,18,1
보건ㆍ복지,부탁드립니다.도와주세요,2,3,1
보건ㆍ복지,동구보건소 감염병대응 문영성 계장님이하 동구 보건소 직원들을 칭찬합니다. (1),1,14,1
보건ㆍ복지,복지카드,1,7,1
보건ㆍ복지,코로나 5인집합 ~~~,1,6,1
보건ㆍ복지,방역지침 차별에 대한 답변을 이해할 수 없습니다,1,5,1
보건ㆍ복지,꿈자람카드,12,30,4
보건ㆍ복지,장애인 주차 불법,12,26,4
보건ㆍ복지,코로나19 조기 극복을 위해 힘을 합해야 합니다.,12,22,4
보건ㆍ복지,육아종합지원센터 행복한 아빠교실 쵝오! (1),12,20,4
보건ㆍ복지,ㅇ,12,17,4
보건ㆍ복지,제발안오게해주세요,12,17,4
보건ㆍ복지,동구청장님께,12,17,4
보건ㆍ복지,동명동 걱정이 됩니다 (1),12,13,4
보건ㆍ복지,분식집 직원 마스크 미착용,12,12,4
보건ㆍ복지,동명동 맛집거리는 다른세상인가요? (1),12,11,4
보건ㆍ복지,거리두기 상향조정 중 조선대학교 대면시험 관련 (1),12,10,4
보건ㆍ복지,거리두기 상향조정 중 조선대학교 대면시험 관련 (1),12,10,4
보건ㆍ복지,사회적거리두기인데 사회복지시설에서 음식섭취가 가능한가요?,12,8,4
보건ㆍ복지,일반음식점 위생교육,12,2,4
보건ㆍ복지,장애인 주차 불법,11,29,4
보건ㆍ복지,장애인주차앞 불법주차 통행방해,11,28,4
보건ㆍ복지,코로나 마스크 의무착용 검사,11,26,4
보건ㆍ복지,동구국민체육센터 주차장 운영,11,8,4
보건ㆍ복지,단체 식사 후 식중독 발생,11,2,4
보건ㆍ복지,3.6식당 위생,11,1,4
