분류,제목,날짜_월,날짜_일,분기
환경ㆍ청소,개념없는 애완견 주인 배변 방법없을까요?,11,22,4
환경ㆍ청소,푸른길 잡상인,11,20,4
환경ㆍ청소,돌출간판이 위험 합니다,11,17,4
환경ㆍ청소,지산2동정류장일대 모기떼피해,11,16,4
환경ㆍ청소,지산2동 로타리사거리 깔따구,11,15,4
환경ㆍ청소,소음,11,13,4
환경ㆍ청소,산책로의 물고임,11,12,4
환경ㆍ청소,선교동 쓰레기방치,11,12,4
환경ㆍ청소,소음,11,8,4
환경ㆍ청소,불법 폐기물 투기자 신고합니다,11,8,4
환경ㆍ청소,소음,11,7,4
환경ㆍ청소,북극곰의 하소연,11,7,4
환경ㆍ청소,소음,11,6,4
환경ㆍ청소,K-POP거리 관리,11,5,4
환경ㆍ청소,요소수문제 동구는 괜찮은가요,11,5,4
환경ㆍ청소,아이스팩 재활용 수거 가능한가요?,11,3,4
환경ㆍ청소,홈플러스 계림점 광장 비둘기,11,3,4
환경ㆍ청소,소음,11,1,4
환경ㆍ청소,비둘기밥,11,1,4
환경ㆍ청소,소음,10,30,4
환경ㆍ청소,흡연 및 주차,10,29,4
환경ㆍ청소,과태료처분과정이 메뉴얼대로 된건지 의문입니다. 청소과 직원의 공갈아닌공갈을 받은거같은기분입니다,10,29,4
환경ㆍ청소,청소행정과 직원의 소극행정과 불친절하고 안이한 업무처리 항의,10,28,4
환경ㆍ청소,불법 간판철거 및 행정조치 요청,10,27,4
환경ㆍ청소,동명동 이용섭 선생님을 칭찬합니다,10,26,4
환경ㆍ청소,불법광고물철거바랍니다-2,10,26,4
환경ㆍ청소,쓰레기 소각,10,26,4
환경ㆍ청소,양림로119번길21 건너편 무단투기가 자주 있습니다,10,26,4
환경ㆍ청소,대인동 도야짬뽕 건물내흡연,10,26,4
환경ㆍ청소,불법광고판ㆍ제거바랍니다,10,25,4
환경ㆍ청소,소음,10,25,4
환경ㆍ청소,청소행정과-답변감사드립니다,10,19,4
환경ㆍ청소,드롭텁앞커피숍길가 쓰레기천지,10,18,4
환경ㆍ청소,동구도 광산구처럼,10,14,4
환경ㆍ청소,불법 광고물 철거 요청,10,12,4
환경ㆍ청소,청소과 김휘님 감사합니다,10,10,4
