분류,제목,날짜_월,날짜_일,분기
기타,"지적재조사, 건축과 불법건축담당은 답변을 달면 문자 바랍니다.",11,28,4
기타,청장님과 비서실장에게 얘기한 것입니다,11,28,4
기타,음식조리사,11,26,4
기타,내집앞주차지역표시,11,25,4
기타,건축과 이현승님께 요청합니다 2,11,23,4
기타,충장축제 해도해도 너무하네요,11,21,4
기타,어찌 연락이 없으시네요,11,20,4
기타,도시텃밭 분양 신청은 언제 받나요?,11,18,4
기타,맨홀뚜껑덜컹거림,11,18,4
기타,가로등 고장요,11,17,4
기타,지산동 원룸근처 개짖는 소리로 인한 소음,11,17,4
기타,행단보도 입구 바닥 보수좀 해주세용,11,16,4
기타,자가격리생활지원금,11,9,4
기타,동구 유치원 부족합니다 (1),11,9,4
기타,건축과 이현승님. 하나 더요.,11,9,4
기타,건축과 이현승님 답변이 너무 느리네요,11,9,4
기타,주민등록표정정요청입니다. (수정 후 재등록),11,8,4
기타,불법노점상 및 불법 점유물,11,4,4
기타,문의,11,1,4
기타,위험물판매소인 일x석유상x를 신고합니다.,10,29,4
기타,가로등고장,10,26,4
기타,동구청장님께,10,26,4
기타,위반 건축물에 대해서 2,10,26,4
기타,계림2동 주민센터관련,10,25,4
기타,지적재조사 다툼과 분쟁의 기준이 무엇인가요?,10,23,4
기타,지적재조사계 홍춘경 주무관님 답변 바랍니다. 2,10,20,4
기타,주택가 개가 무리지어다닙니다,10,18,4
기타,지적재조사계 홍춘경 주무관님 답변 바랍니다.,10,14,4
기타,위반 건축에 대해서,10,14,4
기타,나무 부분 궁금합니다.,10,14,4
기타,동구청에는 몇개의 과가 있는지?,10,10,4
기타,가을의 은행나무,10,8,4
기타,서석초 닭 울음소리,10,8,4
기타,인도 물건 적치,10,7,4
기타,동구청에 드리는 내용이니 적극검토 요망,10,7,4
기타,학동 양명요양병원 근처 개소리,10,6,4
기타,창밖의 모기포충기는 주민의 마음을 알까,10,6,4
기타,위반건축물 위반 면적 잘 못 나온 듯 합니다.,10,6,4
기타,지적재조사를 통한 지적도 수정에 대한 질문.,10,5,4
기타,동구에서 오랬동간 거주하고 현재도 거주하는 동구 토박이 주민입니다,10,3,4
기타,동구청장님 충장축제총감독님 충장축제 매니아로서 간절히 부탁합니다,10,3,4
기타,밑에 보도블럭 민원 공감합니다,10,3,4
기타,답변을 삭제한 것도 있네요,10,1,4
기타,개카페 소음 문제,10,1,4
기타,현수막 게시 과태료 부과,10,1,4
기타,동구청 입구 주차안내소,9,28,3
기타,구청장님 안녕하십니까,9,28,3
기타,한남동 구기 굽는냄새,9,19,3
기타,교체된 가로등 각도 조절 요청,9,19,3
기타,재난지원금 지급 관련 주민센터 업무 숙지 부탁드립니다,9,15,3
기타,칭찬합니다 (1),9,14,3
기타,골목 가로등 수리 부탁드려요,9,13,3
기타,필지 소유주가 같은데 이걸 따로 합병 처리 하라는 이유가 뭔지 설명 바랍니다 (1),9,11,3
기타,창구직원 업무부족과 불친절!! (3),9,9,3
기타,김윤호씨 이번에도 억지로 반복민원으로 종결처리 하실 거에요? (1),9,9,3
기타,산수동 점심시간 단수 (1),9,9,3
기타,민원 해결 요청,9,9,3
기타,기름차 하나 관리 못하는 일x석유상사를 신고합니다. (1),9,8,3
기타,광주지방법원 공사로 인한 소음과 냄새,9,7,3
기타,마스크 안쓰고 다니는 인간을 고발합니다.,9,6,3
기타,판례가 어디 있나요? (1),9,2,3
기타,이런건 어떨까요?,8,29,3
기타,지적재조사 지상 경계 다툼에 대해서 (1),8,27,3
기타,냄새..연기..,8,24,3
기타,킥보드,8,23,3
기타,밑에 버스승강장 워터파크 민원에 덧붙여서 민원 드립니다,8,22,3
기타,법무감사관은 똑바로 감사 하시길 바랍니다,8,21,3
기타,역시나 답변 못하시네요,8,21,3
기타,심폐소생술등 긴급대처교육,8,18,3
기타,계림동 주민 주차장,8,16,3
기타,"민원인 땅이 건축물, 담도 없는 공터 부분인데 남에게 땅을 준다?",8,12,3
기타,불법타이어관련문의드립니다. (1),8,11,3
기타,방역수칙에 따른 작은도서관 사용금지 맞나요?,8,9,3
기타,구청의 조속한 조취바랍니다,8,5,3
기타,임택 동구청장님에게 묻습니다.,8,3,3
기타,수사기관에서 답변 하신 거 해명 바랍니다 (3),7,29,3
기타,선교동 너릿제 옛길 올라가는 경사로 자전거 데크길을 설치해 주세요,7,29,3
기타,154-45번지 입니다.,7,28,3
기타,충장동 화이팅 입니다!! (3),7,27,3
기타,기후환경과 거짓말 하네요? (1),7,27,3
기타,거짓말만 하는 6급 공무원 김윤호 주무관을 신고 합니다 (1),7,23,3
기타,정화조 불법 설치에 대한 답변 바랍니다,7,22,3
기타,지적재조사가 이렇게 무서운 사업입니다 (7),7,19,3
기타,사업 강제로 밀고 나가네요? (1),7,19,3
기타,"정화조 비위생관리, 불법 신고합니다",7,19,3
기타,업주 마스크미착용신고,7,17,3
기타,어린이 보호구역에서,7,16,3
기타,국유지 무단점유 신고합니다 (1),7,16,3
기타,154-45번지입니다. 왜 내 민원엔 답변이 없나요?,7,16,3
기타,지적재조사 민원 8 (2),7,14,3
기타,지적재조사 민원 7,7,14,3
기타,마트 소음,7,13,3
기타,남의 땅을 자꾸 건드려고 합니다,7,10,3
기타,지적과는 핑계 대기 바쁘네요 (1),7,10,3
기타,보란등 점멸 조치,7,10,3
기타,법무감사관에 요청 드립니다 (1),7,6,3
기타,지적과는 왜 있는 건가요?,7,6,3
기타,아시나요? (1),7,6,3
기타,지적재조사 민원 6,7,4,3
기타,남광주주차장은 누구을 위한????,7,3,3
기타,남광주시장 광장주차장은 누구을 위한 주차장~~~,7,3,3
기타,지적과는 정신 차리세요,7,2,3
기타,편의점 내 음주 신고,7,1,3
기타,지적재조사 민원 5,7,1,3
기타,버려진 포크레인 신고합니다.,7,1,3
기타,위생과 직원 민원인과 스피커폰 통화 (6),7,1,3
기타,현장 오신다니까 하는 말인데,6,30,2
기타,지하철 공사-먼지가림막과 방음부스 설치 부탁 (1),6,29,2
기타,민원인 이름을 거론하며 댓글 단 공무원 정신 차리세요,6,29,2
기타,지적재조사 민원,6,28,2
기타,생활불편신고 (1),6,28,2
기타,신고. (2),6,27,2
